date,bird,box,session ,weight_before,weight_after,med_program,comments
June_27,p510,6,s01,388.8,419.2,,
June_27,p054,7,s01,359.7,385.8,,
June_27,p530,8,s01,482.5,490.9,,
June_27,p736,6,s01,405.3,418.5,,
June_27,p004,7,s01,376.5,394.4,,
June_27,p138,8,s01,437.7,454.4,,
June_28,p510,,s02,425.5,440.8,,
June_28,p054,,s02,389.2,405.7,,
June_28,p530,,s02,487.5,498.3,,
June_28,p736,,s02,421.6,428.8,,
June_28,p004,,s02,397.8,410.4,,
June_28,p138,,s02,464.5,468.7,,
June_29,p510,,s03,412.6,427,,
June_29,p054,,s03,384.4,399.8,,
June_29,p530,,s03,491.7,500,,
June_29,p736,,s03,412.2,421.2,,
June_29,p004,,s03,385.1,394.1,,
June_29,p138,,s03,449.1,456.5,,
June_30,p510,,s04,411.5,427.1,,
June_30,p054,,s04,384.3,406.9,,
June_30,p530,,s04,491.3,499.7,,
June_30,p736,,s04,413.5,425.4,,
June_30,p004,,s04,385.4,387.2,,
June_30,p138,,s04,448.7,455,,
July_1,p510,,s05,411.5,431.4,,
July_1,p054,,s05,391.1,407.1,,
July_1,p530,,s05,488.6,499,,
July_1,p736,,s05,411,421.3,,
July_1,p004,,s05,376,388.2,,
July_1,p138,,s05,442.6,454.2,,
July_2,p510,,s06,416.3,436.9,,
July_2,p054,,s06,391,409.3,,
July_2,p530,,s06,486,496.6,,
July_2,p736,,s06,412.4,429.7,,
July_2,p004,,s06,380.8,394.6,,
July_2,p138,,s06,445.1,457,,
July_3,p510,,s07,425,440.9,,
July_3,p054,,s07,396.1,413.7,,
July_3,p530,,s07,488.9,501,,
July_3,p736,,s07,417.4,431.6,,
July_3,p004,,s07,380.1,394.4,,
July_3,p138,,s07,442.1,452.4,,
July_4,p510,,s08,425.3,441.3,,
July_4,p054,,s08,398.1,418.1,,
July_4,p530,,s08,485.8,493.2,,
July_4,p736,,s08,421.4,430.6,,
July_4,p004,,s08,384.8,402.4,,
July_4,p138,,s08,442.9,453.6,,
July_5,p510,,s09,429.5,444.2,,
July_5,p054,,s09,408.6,419.7,,
July_5,p530,,s09,484.2,494.7,,
July_5,p736,,s09,417.8,434.6,,
July_5,p004,,s09,385.3,399.9,,
July_5,p138,,s09,443.9,454.8,,
July_6,p510,,s10,427.9,444,,
July_6,p054,,s10,406.5,421.2,,
July_6,p530,,s10,483,493.6,,
July_6,p736,,s10,425.4,438.3,,
July_6,p004,,s10,389.8,404.9,,
July_6,p138,,s10,444.7,454,,
July_7,p510,,s11,427.7,443.8,,
July_7,p054,,s11,406.3,421.4,,
July_7,p530,,s11,483.2,491.3,,
July_7,p736,,s11,419.5,431.6,,
July_7,p004,,s11,386,400.6,,
July_7,p138,,s11,441.5,454.2,,
July_8,p510,,s12,429.7,445.8,,
July_8,p054,,s12,408.3,428.7,,
July_8,p530,,s12,479.8,488.6,,
July_8,p736,,s12,423,435.8,,
July_8,p004,,s12,390.8,405.4,,
July_8,p138,,s12,445.4,457.9,,
July_9,p510,,s13,432.1,447.6,,
July_9,p054,,s13,415.8,430.5,,
July_9,p530,,s13,477.5,484.4,,
July_9,p736,,s13,424.8,434.8,,
July_9,p004,,s13,390.9,402,,
July_9,p138,,s13,445.8,458.4,,
July_10,p510,,s14,431,443.7,,
July_10,p054,,s14,413.9,431.2,,
July_10,p530,,s14,471.7,481.8,,
July_10,p736,,s14,421,435.8,,
July_10,p004,,s14,384.1,393,,
July_10,p138,,s14,442.6,456.2,,
July_11,p510,,s15,428.4,445.5,,
July_11,p054,,s15,477.7,435.5,,
July_11,p530,,s15,469.4,477.5,,
July_11,p736,,s15,424.7,437.4,,
July_11,p004,,s15,381.5,394.9,,
July_11,p138,,s15,442.4,454.8,,
July_12,p510,,s16,431.3,448.2,,
July_12,p054,,s16,418.4,437.5,,
July_12,p530,,s16,467.9,477.2,,
July_12,p736,,s16,426.5,438,,
July_12,p004,,s16,383.1,394.2,,
July_12,p138,,s16,442.8,455.1,,
July_13,p510,,s17,432.7,448.9,,
July_13,p054,,s17,427.1,441.5,,
July_13,p530,,s17,466.3,480.2,,
July_13,p736,,s17,425.8,435.8,,
July_13,p004,,s17,381.9,394.5,,
July_13,p138,,s17,444.6,457.3,,
July_14,p510,,s18,430.6,448.7,,
July_14,p054,,s18,423.5,442.5,,
July_14,p530,,s18,456.8,477.5,,
July_14,p736,,s18,422.3,437.6,,
July_14,p004,,s18,379.3,391.6,,
July_14,p138,,s18,441.7,453.9,,
July_15,p510,,s19,430.7,446.2,,
July_15,p054,,s19,424.2,439.8,,
July_15,p530,,s19,460.6,473.7,,
July_15,p736,,s19,424.4,438.4,,
July_15,p004,,s19,379,394.9,,
July_15,p138,,s19,440.2,450.7,,
July_16,p510,,s20,430,448.4,,
July_16,p054,,s20,426.2,447.5,,
July_16,p530,,s20,463.1,475.3,,
July_16,p736,,s20,423.7,432.7,,
July_16,p004,,s20,380.5,398.6,,
July_16,p138,,s20,437.9,450.1,,
July_17,p510,,s21,430.6,446.3,,
July_17,p054,,s21,431.4,448.9,,
July_17,p530,,s21,461.7,470.3,,
July_17,p736,,s21,424.4,434.9,,
July_17,p004,,s21,387.8,402.5,,
July_17,p138,,s21,440.8,452,,
July_18,p510,,s22,432.2,444.6,,
July_18,p054,,s22,434.9,449.8,,
July_18,p530,,s22,460.8,470.9,,
July_18,p736,,s22,418.6,427.8,,
July_18,p004,,s22,384.5,395.4,,
July_18,p138,,s22,437.4,447.5,,
July_19,p510,,s23,428.5,444.3,,
July_19,p054,,s23,479.4,476.1,,
July_19,p530,,s23,457.2,467.9,,
July_19,p736,,s23,420.3,429.2,,
July_19,p004,,s23,384.5,392.9,,
July_19,p138,,s23,438,447.8,,
July_20,p510,,s24,430.8,441.4,,
July_20,p054,,NA,448.2,444,,Didn‰Ûªt run because someone fed him yesterday
July_20,p530,,s24,457.7,467.6,,
July_20,p736,,s24,413.6,425.6,,
July_20,p004,,s24,382.2,394,,
July_20,p138,,s24,434.9,446.1,,
July_21,p510,,s25,424.6,438.7,,
July_21,p054,,s24,428.2,444.9,,
July_21,p530,,s25,453.6,466.3,,
July_21,p736,,s25,416.1,427.6,,
July_21,p004,,s25,381.3,391.6,,
July_21,p138,,s25,437.1,447.1,,
July_22,p510,,s26,423.1,439.2,,
July_22,p054,,s25,434.5,451.6,,
July_22,p530,,s26,453.9,465.4,,
July_22,p736,,s26,413.1,424.3,,
July_22,p004,,s26,377.3,392.5,,
July_22,p138,,s26,431.7,444.3,,
July_23,p510,,s27,423.8,438.2,,
July_23,p054,,s26,432.7,449.6,,
July_23,p530,,s27,451.2,464.5,,
July_23,p736,,s27,414.1,425,,
July_23,p004,,s27,380.9,389.9,,
July_23,p138,,s27,433.9,449.8,,
July_24,p510,,s28,,,,
July_24,p054,,s27,,,,
July_24,p530,,s28,,,,
July_24,p736,,s28,,,,
July_24,p004,,s28,,,,
July_24,p138,,s28,,,,
July_25,p510,,s29,,,,
July_25,p054,,s28,,,,
July_25,p530,,s29,,,,
July_25,p736,,s29,,,,
July_25,p004,,s29,,,,
July_25,p138,,s29,,,,
July_26,p510,,s30,,,,
July_26,p054,,s29,,,,
July_26,p530,,s30,,,,
July_26,p736,,s30,,,,
July_26,p004,,s30,,,,
July_26,p138,,s30,,,,
July_27,p510,,s31,,,,
July_27,p054,,s30,,,,
July_27,p530,,s31,,,,
July_27,p736,,s31,,,,
July_27,p004,,s31,,,,
July_27,p138,,s31,,,,
July_28,p510,,s32,,,,
July_28,p054,,s31,,,,
July_28,p530,,s32,,,,
July_28,p736,,s32,,,,
July_28,p004,,s32,,,,
July_28,p138,,s32,,,,
July_29,p510,,s33,,,,
July_29,p054,,s32,,,,
July_29,p530,,s33,,,,
July_29,p736,,s33,,,,
July_29,p004,,s33,,,,
July_29,p138,,s33,,,,
July_30,p510,,s34,,,,
July_30,p054,,s33,,,,
July_30,p530,,s34,,,,
July_30,p736,,s34,,,,
July_30,p004,,s34,,,,
July_30,p138,,s34,,,,
July_31,p510,,s35,,,,
July_31,p054,,s34,,,,
July_31,p530,,s35,,,,
July_31,p736,,s35,,,,
July_31,p004,,s35,,,,
July_31,p138,,s35,,,,
August_1,p510,,s36,,,,
August_1,p054,,s35,,,,
August_1,p530,,s36,,,,
August_1,p736,,s36,,,,
August_1,p004,,s36,,,,
August_1,p138,,s36,,,,
August_2,p510,,s37,,,,
August_2,p054,,s36,,,,
August_2,p530,,s37,,,,
August_2,p736,,s37,,,,
August_2,p004,,s37,,,,
August_2,p138,,s37,,,,
August_3,p510,,s38,,,,
August_3,p054,,s37,,,,
August_3,p530,,s38,,,,
August_3,p736,,s38,,,,
August_3,p004,,s38,,,,
August_3,p138,,s38,,,,
August_4,p510,,s39,,,,
August_4,p054,,s38,,,,
August_4,p530,,s39,,,,
August_4,p736,,s39,,,,
August_4,p004,,s39,,,,
August_4,p138,,s39,,,,
August_5,p510,,s40,,,,
August_5,p054,,s39,,,,
August_5,p530,,s40,,,,
August_5,p736,,s40,,,,
August_5,p004,,s40,,,,
August_5,p138,,s40,,,,
August_6,p510,,s41,,,,
August_6,p054,,s40,,,,
August_6,p530,,s41,,,,
August_6,p736,,s41,,,,
August_6,p004,,s41,,,,
August_6,p138,,s41,,,,
August_7,p510,,s42,,,,
August_7,p054,,s41,,,,
August_7,p530,,s42,,,,
August_7,p736,,s42,,,,
