,box,data_file,date,session_start,session_end,bird,session,med_notation_file,event_key,time_sec_100,event,session_time_sec
0,8,p530_s02_japede,06/28/17,14:00:52,15:04:19,p530,s02,japede_L_30_30_30_R_90_90_90,010,0,session_start,0.0
1,8,p530_s02_japede,06/28/17,14:00:52,15:04:19,p530,s02,japede_L_30_30_30_R_90_90_90,250,0,chamber_light_on,0.0
2,8,p530_s02_japede,06/28/17,14:00:52,15:04:19,p530,s02,japede_L_30_30_30_R_90_90_90,220,0,left_light_on,0.0
3,8,p530_s02_japede,06/28/17,14:00:52,15:04:19,p530,s02,japede_L_30_30_30_R_90_90_90,230,0,right_light_on,0.0
4,8,p530_s02_japede,06/28/17,14:00:52,15:04:19,p530,s02,japede_L_30_30_30_R_90_90_90,130,2882,response_right_key,28.82
5,8,p530_s02_japede,06/28/17,14:00:52,15:04:19,p530,s02,japede_L_30_30_30_R_90_90_90,740,2999,reinforcer_scheduled_left,29.99
6,8,p530_s02_japede,06/28/17,14:00:52,15:04:19,p530,s02,japede_L_30_30_30_R_90_90_90,540,4749,feeder_on_left,47.49
7,8,p530_s02_japede,06/28/17,14:00:52,15:04:19,p530,s02,japede_L_30_30_30_R_90_90_90,320,4749,left_light_off,47.49
8,8,p530_s02_japede,06/28/17,14:00:52,15:04:19,p530,s02,japede_L_30_30_30_R_90_90_90,330,4749,right_light_off,47.49
9,8,p530_s02_japede,06/28/17,14:00:52,15:04:19,p530,s02,japede_L_30_30_30_R_90_90_90,350,4749,chamber_light_off,47.49
10,8,p530_s02_japede,06/28/17,14:00:52,15:04:19,p530,s02,japede_L_30_30_30_R_90_90_90,240,4749,feeder_on,47.49
11,8,p530_s02_japede,06/28/17,14:00:52,15:04:19,p530,s02,japede_L_30_30_30_R_90_90_90,120,4749,response_left_key,47.49
12,8,p530_s02_japede,06/28/17,14:00:52,15:04:19,p530,s02,japede_L_30_30_30_R_90_90_90,220,5049,left_light_on,50.49
13,8,p530_s02_japede,06/28/17,14:00:52,15:04:19,p530,s02,japede_L_30_30_30_R_90_90_90,230,5049,right_light_on,50.49
14,8,p530_s02_japede,06/28/17,14:00:52,15:04:19,p530,s02,japede_L_30_30_30_R_90_90_90,250,5049,chamber_light_on,50.49
15,8,p530_s02_japede,06/28/17,14:00:52,15:04:19,p530,s02,japede_L_30_30_30_R_90_90_90,340,5049,feeder_off,50.49
16,8,p530_s02_japede,06/28/17,14:00:52,15:04:19,p530,s02,japede_L_30_30_30_R_90_90_90,130,5251,response_right_key,52.51
17,8,p530_s02_japede,06/28/17,14:00:52,15:04:19,p530,s02,japede_L_30_30_30_R_90_90_90,130,5259,response_right_key,52.59
18,8,p530_s02_japede,06/28/17,14:00:52,15:04:19,p530,s02,japede_L_30_30_30_R_90_90_90,740,5449,reinforcer_scheduled_left,54.49
19,8,p530_s02_japede,06/28/17,14:00:52,15:04:19,p530,s02,japede_L_30_30_30_R_90_90_90,540,5699,feeder_on_left,56.99
20,8,p530_s02_japede,06/28/17,14:00:52,15:04:19,p530,s02,japede_L_30_30_30_R_90_90_90,320,5699,left_light_off,56.99
21,8,p530_s02_japede,06/28/17,14:00:52,15:04:19,p530,s02,japede_L_30_30_30_R_90_90_90,330,5699,right_light_off,56.99
22,8,p530_s02_japede,06/28/17,14:00:52,15:04:19,p530,s02,japede_L_30_30_30_R_90_90_90,350,5699,chamber_light_off,56.99
23,8,p530_s02_japede,06/28/17,14:00:52,15:04:19,p530,s02,japede_L_30_30_30_R_90_90_90,240,5699,feeder_on,56.99
24,8,p530_s02_japede,06/28/17,14:00:52,15:04:19,p530,s02,japede_L_30_30_30_R_90_90_90,120,5699,response_left_key,56.99
25,8,p530_s02_japede,06/28/17,14:00:52,15:04:19,p530,s02,japede_L_30_30_30_R_90_90_90,220,5999,left_light_on,59.99
26,8,p530_s02_japede,06/28/17,14:00:52,15:04:19,p530,s02,japede_L_30_30_30_R_90_90_90,230,5999,right_light_on,59.99
27,8,p530_s02_japede,06/28/17,14:00:52,15:04:19,p530,s02,japede_L_30_30_30_R_90_90_90,250,5999,chamber_light_on,59.99
28,8,p530_s02_japede,06/28/17,14:00:52,15:04:19,p530,s02,japede_L_30_30_30_R_90_90_90,340,5999,feeder_off,59.99
29,8,p530_s02_japede,06/28/17,14:00:52,15:04:19,p530,s02,japede_L_30_30_30_R_90_90_90,130,6247,response_right_key,62.47
30,8,p530_s02_japede,06/28/17,14:00:52,15:04:19,p530,s02,japede_L_30_30_30_R_90_90_90,130,6293,response_right_key,62.93
31,8,p530_s02_japede,06/28/17,14:00:52,15:04:19,p530,s02,japede_L_30_30_30_R_90_90_90,740,6299,reinforcer_scheduled_left,62.99
32,8,p530_s02_japede,06/28/17,14:00:52,15:04:19,p530,s02,japede_L_30_30_30_R_90_90_90,540,6904,feeder_on_left,69.04
33,8,p530_s02_japede,06/28/17,14:00:52,15:04:19,p530,s02,japede_L_30_30_30_R_90_90_90,320,6904,left_light_off,69.04
34,8,p530_s02_japede,06/28/17,14:00:52,15:04:19,p530,s02,japede_L_30_30_30_R_90_90_90,330,6904,right_light_off,69.04
35,8,p530_s02_japede,06/28/17,14:00:52,15:04:19,p530,s02,japede_L_30_30_30_R_90_90_90,350,6904,chamber_light_off,69.04
36,8,p530_s02_japede,06/28/17,14:00:52,15:04:19,p530,s02,japede_L_30_30_30_R_90_90_90,240,6904,feeder_on,69.04
37,8,p530_s02_japede,06/28/17,14:00:52,15:04:19,p530,s02,japede_L_30_30_30_R_90_90_90,120,6904,response_left_key,69.04
38,8,p530_s02_japede,06/28/17,14:00:52,15:04:19,p530,s02,japede_L_30_30_30_R_90_90_90,120,6910,response_left_key,69.1
39,8,p530_s02_japede,06/28/17,14:00:52,15:04:19,p530,s02,japede_L_30_30_30_R_90_90_90,220,7204,left_light_on,72.04
40,8,p530_s02_japede,06/28/17,14:00:52,15:04:19,p530,s02,japede_L_30_30_30_R_90_90_90,230,7204,right_light_on,72.04
41,8,p530_s02_japede,06/28/17,14:00:52,15:04:19,p530,s02,japede_L_30_30_30_R_90_90_90,250,7204,chamber_light_on,72.04
42,8,p530_s02_japede,06/28/17,14:00:52,15:04:19,p530,s02,japede_L_30_30_30_R_90_90_90,340,7204,feeder_off,72.04
43,8,p530_s02_japede,06/28/17,14:00:52,15:04:19,p530,s02,japede_L_30_30_30_R_90_90_90,120,7625,response_left_key,76.25
44,8,p530_s02_japede,06/28/17,14:00:52,15:04:19,p530,s02,japede_L_30_30_30_R_90_90_90,120,7657,response_left_key,76.57
45,8,p530_s02_japede,06/28/17,14:00:52,15:04:19,p530,s02,japede_L_30_30_30_R_90_90_90,120,7664,response_left_key,76.64
46,8,p530_s02_japede,06/28/17,14:00:52,15:04:19,p530,s02,japede_L_30_30_30_R_90_90_90,120,7745,response_left_key,77.45
47,8,p530_s02_japede,06/28/17,14:00:52,15:04:19,p530,s02,japede_L_30_30_30_R_90_90_90,120,7753,response_left_key,77.53
48,8,p530_s02_japede,06/28/17,14:00:52,15:04:19,p530,s02,japede_L_30_30_30_R_90_90_90,120,7888,response_left_key,78.88
49,8,p530_s02_japede,06/28/17,14:00:52,15:04:19,p530,s02,japede_L_30_30_30_R_90_90_90,120,7922,response_left_key,79.22
50,8,p530_s02_japede,06/28/17,14:00:52,15:04:19,p530,s02,japede_L_30_30_30_R_90_90_90,120,7929,response_left_key,79.29
51,8,p530_s02_japede,06/28/17,14:00:52,15:04:19,p530,s02,japede_L_30_30_30_R_90_90_90,120,7998,response_left_key,79.98
52,8,p530_s02_japede,06/28/17,14:00:52,15:04:19,p530,s02,japede_L_30_30_30_R_90_90_90,740,8004,reinforcer_scheduled_left,80.04
53,8,p530_s02_japede,06/28/17,14:00:52,15:04:19,p530,s02,japede_L_30_30_30_R_90_90_90,540,8051,feeder_on_left,80.51
54,8,p530_s02_japede,06/28/17,14:00:52,15:04:19,p530,s02,japede_L_30_30_30_R_90_90_90,320,8051,left_light_off,80.51
55,8,p530_s02_japede,06/28/17,14:00:52,15:04:19,p530,s02,japede_L_30_30_30_R_90_90_90,330,8051,right_light_off,80.51
56,8,p530_s02_japede,06/28/17,14:00:52,15:04:19,p530,s02,japede_L_30_30_30_R_90_90_90,350,8051,chamber_light_off,80.51
57,8,p530_s02_japede,06/28/17,14:00:52,15:04:19,p530,s02,japede_L_30_30_30_R_90_90_90,240,8051,feeder_on,80.51
58,8,p530_s02_japede,06/28/17,14:00:52,15:04:19,p530,s02,japede_L_30_30_30_R_90_90_90,120,8051,response_left_key,80.51
59,8,p530_s02_japede,06/28/17,14:00:52,15:04:19,p530,s02,japede_L_30_30_30_R_90_90_90,220,8351,left_light_on,83.51
60,8,p530_s02_japede,06/28/17,14:00:52,15:04:19,p530,s02,japede_L_30_30_30_R_90_90_90,230,8351,right_light_on,83.51
61,8,p530_s02_japede,06/28/17,14:00:52,15:04:19,p530,s02,japede_L_30_30_30_R_90_90_90,250,8351,chamber_light_on,83.51
62,8,p530_s02_japede,06/28/17,14:00:52,15:04:19,p530,s02,japede_L_30_30_30_R_90_90_90,340,8351,feeder_off,83.51
63,8,p530_s02_japede,06/28/17,14:00:52,15:04:19,p530,s02,japede_L_30_30_30_R_90_90_90,120,8809,response_left_key,88.09
64,8,p530_s02_japede,06/28/17,14:00:52,15:04:19,p530,s02,japede_L_30_30_30_R_90_90_90,120,8815,response_left_key,88.15
65,8,p530_s02_japede,06/28/17,14:00:52,15:04:19,p530,s02,japede_L_30_30_30_R_90_90_90,120,8850,response_left_key,88.5
66,8,p530_s02_japede,06/28/17,14:00:52,15:04:19,p530,s02,japede_L_30_30_30_R_90_90_90,120,8858,response_left_key,88.58
67,8,p530_s02_japede,06/28/17,14:00:52,15:04:19,p530,s02,japede_L_30_30_30_R_90_90_90,120,8894,response_left_key,88.94
68,8,p530_s02_japede,06/28/17,14:00:52,15:04:19,p530,s02,japede_L_30_30_30_R_90_90_90,120,8934,response_left_key,89.34
