,box,data_file,date,session_start,session_end,bird,session,med_notation_file,event_key,time_sec_100,event,session_time_sec,first_cp_left,second_cp_left,first_cp_right,second_cp_right
0,6,p736_s107_japede,10/14/17,16:40:16,17:40:47,p736,s107,japede_L_45_45_45_R_45_45_45,010,0,session_start,0.0,1092.000,2337.000,1092.000,2337.000
1,6,p736_s107_japede,10/14/17,16:40:16,17:40:47,p736,s107,japede_L_45_45_45_R_45_45_45,250,0,chamber_light_on,0.0,1092.000,2337.000,1092.000,2337.000
2,6,p736_s107_japede,10/14/17,16:40:16,17:40:47,p736,s107,japede_L_45_45_45_R_45_45_45,220,0,left_light_on,0.0,1092.000,2337.000,1092.000,2337.000
3,6,p736_s107_japede,10/14/17,16:40:16,17:40:47,p736,s107,japede_L_45_45_45_R_45_45_45,230,0,right_light_on,0.0,1092.000,2337.000,1092.000,2337.000
4,6,p736_s107_japede,10/14/17,16:40:16,17:40:47,p736,s107,japede_L_45_45_45_R_45_45_45,130,88,response_right_key,0.88,1092.000,2337.000,1092.000,2337.000
5,6,p736_s107_japede,10/14/17,16:40:16,17:40:47,p736,s107,japede_L_45_45_45_R_45_45_45,840,99,reinforcer_scheduled_right,0.99,1092.000,2337.000,1092.000,2337.000
6,6,p736_s107_japede,10/14/17,16:40:16,17:40:47,p736,s107,japede_L_45_45_45_R_45_45_45,640,127,feeder_on_right,1.27,1092.000,2337.000,1092.000,2337.000
7,6,p736_s107_japede,10/14/17,16:40:16,17:40:47,p736,s107,japede_L_45_45_45_R_45_45_45,320,127,left_light_off,1.27,1092.000,2337.000,1092.000,2337.000
8,6,p736_s107_japede,10/14/17,16:40:16,17:40:47,p736,s107,japede_L_45_45_45_R_45_45_45,330,127,right_light_off,1.27,1092.000,2337.000,1092.000,2337.000
9,6,p736_s107_japede,10/14/17,16:40:16,17:40:47,p736,s107,japede_L_45_45_45_R_45_45_45,350,127,chamber_light_off,1.27,1092.000,2337.000,1092.000,2337.000
10,6,p736_s107_japede,10/14/17,16:40:16,17:40:47,p736,s107,japede_L_45_45_45_R_45_45_45,240,127,feeder_on,1.27,1092.000,2337.000,1092.000,2337.000
11,6,p736_s107_japede,10/14/17,16:40:16,17:40:47,p736,s107,japede_L_45_45_45_R_45_45_45,130,127,response_right_key,1.27,1092.000,2337.000,1092.000,2337.000
12,6,p736_s107_japede,10/14/17,16:40:16,17:40:47,p736,s107,japede_L_45_45_45_R_45_45_45,220,377,left_light_on,3.77,1092.000,2337.000,1092.000,2337.000
13,6,p736_s107_japede,10/14/17,16:40:16,17:40:47,p736,s107,japede_L_45_45_45_R_45_45_45,230,377,right_light_on,3.77,1092.000,2337.000,1092.000,2337.000
14,6,p736_s107_japede,10/14/17,16:40:16,17:40:47,p736,s107,japede_L_45_45_45_R_45_45_45,250,377,chamber_light_on,3.77,1092.000,2337.000,1092.000,2337.000
15,6,p736_s107_japede,10/14/17,16:40:16,17:40:47,p736,s107,japede_L_45_45_45_R_45_45_45,340,377,feeder_off,3.77,1092.000,2337.000,1092.000,2337.000
16,6,p736_s107_japede,10/14/17,16:40:16,17:40:47,p736,s107,japede_L_45_45_45_R_45_45_45,840,577,reinforcer_scheduled_right,5.77,1092.000,2337.000,1092.000,2337.000
17,6,p736_s107_japede,10/14/17,16:40:16,17:40:47,p736,s107,japede_L_45_45_45_R_45_45_45,640,1098,feeder_on_right,10.98,1092.000,2337.000,1092.000,2337.000
18,6,p736_s107_japede,10/14/17,16:40:16,17:40:47,p736,s107,japede_L_45_45_45_R_45_45_45,320,1098,left_light_off,10.98,1092.000,2337.000,1092.000,2337.000
19,6,p736_s107_japede,10/14/17,16:40:16,17:40:47,p736,s107,japede_L_45_45_45_R_45_45_45,330,1098,right_light_off,10.98,1092.000,2337.000,1092.000,2337.000
20,6,p736_s107_japede,10/14/17,16:40:16,17:40:47,p736,s107,japede_L_45_45_45_R_45_45_45,350,1098,chamber_light_off,10.98,1092.000,2337.000,1092.000,2337.000
21,6,p736_s107_japede,10/14/17,16:40:16,17:40:47,p736,s107,japede_L_45_45_45_R_45_45_45,240,1098,feeder_on,10.98,1092.000,2337.000,1092.000,2337.000
22,6,p736_s107_japede,10/14/17,16:40:16,17:40:47,p736,s107,japede_L_45_45_45_R_45_45_45,130,1098,response_right_key,10.98,1092.000,2337.000,1092.000,2337.000
23,6,p736_s107_japede,10/14/17,16:40:16,17:40:47,p736,s107,japede_L_45_45_45_R_45_45_45,220,1348,left_light_on,13.48,1092.000,2337.000,1092.000,2337.000
