"lever","time","scheduled_since","session","bird","cost_local","cost_alter","streak_length","cum_resp_left","cum_resp_right","cum_reinf_left","cum_reinf_right","local_VI","alter_VI"
"right",14.88,13.99,"s01","p004",14,0,1,0,14,0,1,90,30
"left",61.05,41.99,"s01","p004",1,76,1,1,90,1,1,30,90
"left",88.41,87.05,"s01","p004",3,7,2,4,97,2,1,30,90
"left",119.99,115.41,"s01","p004",1,2,3,5,99,3,1,30,90
"right",203.88,140.88,"s01","p004",1,144,1,149,100,3,2,90,30
"left",293.98,219.99,"s01","p004",3,67,1,152,167,4,2,30,90
"left",317.12,316.98,"s01","p004",39,2,2,191,169,5,2,30,90
"left",347.6,326.12,"s01","p004",2,60,3,193,229,6,2,30,90
"left",375.74,372.6,"s01","p004",33,10,4,226,239,7,2,30,90
"left",472.52,439.74,"s01","p004",13,3,5,239,242,8,2,30,90
"left",535.45,533.52,"s01","p004",24,3,6,263,245,9,2,30,90
"left",556.76,555.45,"s01","p004",11,0,7,274,245,10,2,30,90
"left",671.81,609.76,"s01","p004",14,5,8,288,250,11,2,30,90
"left",721.11,714.81,"s01","p004",16,0,9,304,250,12,2,30,90
"right",732.44,591.88,"s01","p004",1,1,1,305,251,12,3,90,30
"left",737.97,727.11,"s01","p004",1,0,1,306,251,13,3,30,90
"left",749.56,743.97,"s01","p004",1,0,2,307,251,14,3,30,90
"left",761.05,760.56,"s01","p004",16,0,3,323,251,15,3,30,90
"right",769.65,769.44,"s01","p004",6,0,1,323,257,15,4,90,30
"left",774.42,770.05,"s01","p004",1,0,1,324,257,16,4,30,90
"left",806.14,790.42,"s01","p004",1,32,2,325,289,17,4,30,90
"left",817.52,817.14,"s01","p004",16,0,3,341,289,18,4,30,90
"left",830.88,830.52,"s01","p004",21,0,4,362,289,19,4,30,90
"left",844.01,843.88,"s01","p004",21,0,5,383,289,20,4,30,90
"left",877.52,877.01,"s01","p004",66,0,6,449,289,21,4,30,90
"left",887.74,887.52,"s01","p004",13,0,7,462,289,22,4,30,90
"right",941.2,836.65,"s01","p004",1,80,1,542,290,22,5,90,30
"right",955.97,950.2,"s01","p004",1,11,2,553,291,22,6,90,30
"left",1052.83,1036.74,"s01","p004",19,34,1,572,325,23,6,30,90
"left",1089.73,1088.83,"s01","p004",27,4,2,599,329,24,6,30,90
"left",1120.64,1112.73,"s01","p004",9,2,3,608,331,25,6,30,90
"right",1160.59,1135.97,"s01","p004",1,11,1,619,332,25,7,90,30
"right",1248.87,1248.59,"s01","p004",41,1,2,620,373,25,8,90,30
"left",1254.23,1193.64,"s01","p004",1,0,1,621,373,26,8,30,90
"left",1281.66,1281.23,"s01","p004",50,0,2,671,373,27,8,30,90
"left",1294.86,1294.66,"s01","p004",21,0,3,692,373,28,8,30,90
"right",1335.93,1277.87,"s01","p004",1,64,1,756,374,28,9,90,30
"left",1388.45,1383.86,"s01","p004",27,12,1,783,386,29,9,30,90
"right",1409.39,1401.93,"s01","p004",1,12,1,795,387,29,10,90,30
"left",1448.82,1446.45,"s01","p004",21,5,1,816,392,30,10,30,90
"left",1465.56,1462.82,"s01","p004",8,1,2,824,393,31,10,30,90
"left",1529.4,1525.56,"s01","p004",29,3,3,853,396,32,10,30,90
"left",1584.48,1583.4,"s01","p004",17,5,4,870,401,33,10,30,90
"left",1614.75,1614.48,"s01","p004",16,1,5,886,402,34,10,30,90
"left",1636.2,1630.75,"s01","p004",12,2,6,898,404,35,10,30,90
"right",1665.25,1658.39,"s01","p004",2,3,1,901,406,35,11,90,30
"left",1683.83,1683.2,"s01","p004",4,4,1,905,410,36,11,30,90
"left",1693.14,1688.83,"s01","p004",1,0,2,906,410,37,11,30,90
"right",1704.3,1689.25,"s01","p004",1,2,1,908,411,37,12,90,30
"right",1712.48,1712.3,"s01","p004",10,0,2,908,421,37,13,90,30
"left",1747,1719.14,"s01","p004",1,47,1,909,468,38,13,30,90
"left",1771.36,1754,"s01","p004",2,31,2,911,499,39,13,30,90
"left",1798.12,1796.36,"s01","p004",41,0,3,952,499,40,13,30,90
"left",1812.63,1812.12,"s01","p004",9,1,4,961,500,41,13,30,90
"left",1828.66,1826.63,"s01","p004",11,1,5,972,501,42,13,30,90
"left",1851.34,1849.66,"s01","p004",10,10,6,982,511,43,13,30,90
"left",1881.8,1869.34,"s01","p004",6,12,7,988,523,44,13,30,90
"left",1894.27,1887.8,"s01","p004",2,11,8,990,534,45,13,30,90
"left",1955.45,1946.27,"s01","p004",14,29,9,1004,563,46,13,30,90
"left",1995.13,1990.45,"s01","p004",5,8,10,1009,571,47,13,30,90
"right",2076.51,2076.48,"s01","p004",31,7,1,1016,602,47,14,90,30
"right",2095.06,2094.51,"s01","p004",30,0,2,1016,632,47,15,90,30
"left",2140.76,2105.13,"s01","p004",1,63,1,1017,695,48,15,30,90
"right",2248.55,2221.06,"s01","p004",9,6,1,1023,704,48,16,90,30
"right",2271.98,2268.55,"s01","p004",7,0,2,1023,711,48,17,90,30
"right",2286.02,2285.98,"s01","p004",18,0,3,1023,729,48,18,90,30
"left",2313.75,2197.76,"s01","p004",1,30,1,1024,759,49,18,30,90
"left",2332.39,2330.75,"s01","p004",1,14,2,1025,773,50,18,30,90
"left",2351.23,2341.39,"s01","p004",2,22,3,1027,795,51,18,30,90
"left",2376.13,2373.23,"s01","p004",25,7,4,1052,802,52,18,30,90
"left",2394.68,2391.13,"s01","p004",6,6,5,1058,808,53,18,30,90
"right",2470.72,2465.02,"s01","p004",16,28,1,1086,824,53,19,90,30
"left",2486.71,2458.68,"s01","p004",1,11,1,1087,835,54,19,30,90
"left",2553.61,2522.71,"s01","p004",5,40,2,1092,875,55,19,30,90
"left",2597.67,2591.61,"s01","p004",6,10,3,1098,885,56,19,30,90
"left",2627.27,2626.67,"s01","p004",2,4,4,1100,889,57,19,30,90
"left",2672.67,2660.27,"s01","p004",7,11,5,1107,900,58,19,30,90
"left",2694.1,2693.67,"s01","p004",4,6,6,1111,906,59,19,30,90
"left",2785.76,2714.1,"s01","p004",8,9,7,1119,915,60,19,30,90
"left",2809.65,2808.76,"s01","p004",3,1,8,1122,916,61,19,30,90
"right",2893.45,2890.72,"s01","p004",26,20,1,1142,942,61,20,90,30
"left",2918.76,2913.65,"s01","p004",1,30,1,1143,972,62,20,30,90
"left",2928.45,2925.76,"s01","p004",1,2,2,1144,974,63,20,30,90
"left",2961.12,2960.45,"s01","p004",12,3,3,1156,977,64,20,30,90
"right",2969.22,2952.45,"s01","p004",1,1,1,1157,978,64,21,90,30
"left",2976.78,2971.12,"s01","p004",1,1,1,1158,979,65,21,30,90
"left",3016.05,3003.78,"s01","p004",8,13,2,1166,992,66,21,30,90
"left",3026.44,3025.05,"s01","p004",1,4,3,1167,996,67,21,30,90
"left",3036.4,3031.44,"s01","p004",1,2,4,1168,998,68,21,30,90
"left",3040.77,3040.4,"s01","p004",1,0,5,1169,998,69,21,30,90
"right",3096.89,3095.22,"s01","p004",23,15,1,1184,1021,69,22,90,30
"right",3135.59,3133.89,"s01","p004",19,3,2,1187,1040,69,23,90,30
"left",3195.16,3184.77,"s01","p004",9,44,1,1196,1084,70,23,30,90
"left",3209.95,3207.16,"s01","p004",1,7,2,1197,1091,71,23,30,90
"left",3232.55,3224.95,"s01","p004",8,6,3,1205,1097,72,23,30,90
"left",3243.89,3239.55,"s01","p004",8,0,4,1213,1097,73,23,30,90
"left",3279.67,3272.89,"s01","p004",11,9,5,1224,1106,74,23,30,90
"left",3324.63,3320.67,"s01","p004",11,12,6,1235,1118,75,23,30,90
"left",3387.83,3384.63,"s01","p004",25,13,7,1260,1131,76,23,30,90
"right",3397,3391.59,"s01","p004",1,4,1,1264,1132,76,24,90,30
"right",3419.84,3419,"s01","p004",20,3,2,1267,1152,76,25,90,30
"left",3433.45,3427.83,"s01","p004",2,5,1,1269,1157,77,25,30,90
"left",3448.93,3448.45,"s01","p004",4,5,2,1273,1162,78,25,30,90
"left",3473.67,3468.93,"s01","p004",11,8,3,1284,1170,79,25,30,90
"left",3484.19,3483.67,"s01","p004",5,0,4,1289,1170,80,25,30,90
"left",3496.73,3494.19,"s01","p004",3,1,5,1292,1171,81,25,30,90
