"session","bird","n_responses","n_reinforcers","lever","time_start","time_end","local_VI","alter_VI"
"s01","p138",392,5,"left",2.33,275.84,30,90
"s01","p138",1,1,"right",279.02,279.02,90,30
"s01","p138",7,3,"left",284.13,304.28,30,90
"s01","p138",3,0,"right",307.76,308.96,90,30
"s01","p138",31,0,"left",310.54,339.2,30,90
"s01","p138",1,1,"right",341.08,341.08,90,30
"s01","p138",8,0,"left",345.45,348.54,30,90
"s01","p138",1,1,"right",357.2,357.2,90,30
"s01","p138",10,0,"left",364.5,367.5,30,90
"s01","p138",2,0,"right",370.47,371.85,90,30
"s01","p138",869,22,"left",374.72,1209.23,30,90
"s01","p138",13,1,"right",1215.2,1241.13,90,30
"s01","p138",67,2,"left",1249.16,1300.88,30,90
"s01","p138",1,0,"right",1303.98,1303.98,90,30
"s01","p138",84,2,"left",1306.47,1436.2,30,90
"s01","p138",1,1,"right",1439.13,1439.13,90,30
"s01","p138",2,0,"left",1448.54,1449.06,30,90
"s01","p138",8,0,"right",1460.85,1465.09,90,30
"s01","p138",24,1,"left",1469.77,1504.75,30,90
"s01","p138",1,1,"right",1510.39,1510.39,90,30
"s01","p138",14,1,"left",1515.49,1534.22,30,90
"s01","p138",5,1,"right",1536.35,1551.12,90,30
"s01","p138",5,0,"left",1553.29,1559.87,30,90
"s01","p138",6,0,"right",1572.54,1576.49,90,30
"s01","p138",15,2,"left",1578.6,1599.36,30,90
"s01","p138",1,1,"right",1602.79,1602.79,90,30
"s01","p138",85,2,"left",1607.53,1673.98,30,90
"s01","p138",1,1,"right",1680.34,1680.34,90,30
"s01","p138",4,0,"left",1684.68,1685.95,30,90
"s01","p138",4,1,"right",1691.27,1701.21,90,30
"s01","p138",7,1,"left",1704.69,1732.99,30,90
"s01","p138",3,1,"right",1746.97,1753.69,90,30
"s01","p138",5,1,"left",1758.27,1768.37,30,90
"s01","p138",2,0,"right",1770.55,1770.63,90,30
"s01","p138",2,0,"left",1776.06,1783.09,30,90
"s01","p138",3,0,"right",1785.1,1790.51,90,30
"s01","p138",11,2,"left",1793.11,1824.11,30,90
"s01","p138",2,2,"right",1827.58,1839.53,90,30
"s01","p138",5,0,"left",1843.92,1846.87,30,90
"s01","p138",10,0,"right",1849.7,1860.19,90,30
"s01","p138",1,0,"left",1863.6,1863.6,30,90
"s01","p138",4,0,"right",1870.41,1874.67,90,30
"s01","p138",3,1,"left",1876.49,1881.88,30,90
"s01","p138",2,0,"right",1887.76,1887.87,90,30
"s01","p138",14,2,"left",1891.69,1912.22,30,90
