"session","bird","VIleft1","VIleft2","VIright1","VIright2","CPright","CPleft","dynamic_env","conditions_left","conditions_right","env_1","env_2"
"s01","p004",30,30,90,90,1018,1018,FALSE,"30_30","90_90","30_90","30_90"
"s02","p004",30,30,90,90,1530,1530,FALSE,"30_30","90_90","30_90","30_90"
"s03","p004",30,30,90,90,908,908,FALSE,"30_30","90_90","30_90","30_90"
"s04","p004",30,30,90,90,951,951,FALSE,"30_30","90_90","30_90","30_90"
"s05","p004",30,30,90,90,1364,1364,FALSE,"30_30","90_90","30_90","30_90"
"s06","p004",30,30,90,90,1146,1146,FALSE,"30_30","90_90","30_90","30_90"
"s07","p004",30,30,90,90,909,909,FALSE,"30_30","90_90","30_90","30_90"
"s08","p004",30,30,90,90,1178,1178,FALSE,"30_30","90_90","30_90","30_90"
"s09","p004",30,30,90,90,1603,1603,FALSE,"30_30","90_90","30_90","30_90"
"s10","p004",30,30,90,90,928,928,FALSE,"30_30","90_90","30_90","30_90"
"s11","p004",30,30,90,90,1988,1988,FALSE,"30_30","90_90","30_90","30_90"
"s12","p004",30,30,90,90,1281,1281,FALSE,"30_30","90_90","30_90","30_90"
"s13","p004",30,30,90,90,1601,1601,FALSE,"30_30","90_90","30_90","30_90"
"s14","p004",30,30,90,90,1222,1222,FALSE,"30_30","90_90","30_90","30_90"
"s15","p004",30,30,90,90,1975,1975,FALSE,"30_30","90_90","30_90","30_90"
"s16","p004",30,90,90,30,1169,1169,TRUE,"30_90","90_30","30_90","90_30"
"s17","p004",90,90,30,30,981,981,FALSE,"90_90","30_30","90_30","90_30"
"s18","p004",90,90,30,30,1148,1148,FALSE,"90_90","30_30","90_30","90_30"
"s19","p004",90,90,30,30,1471,1471,FALSE,"90_90","30_30","90_30","90_30"
"s20","p004",90,90,30,30,1400,1400,FALSE,"90_90","30_30","90_30","90_30"
"s21","p004",90,90,30,30,932,932,FALSE,"90_90","30_30","90_30","90_30"
"s22","p004",90,90,30,30,1341,1341,FALSE,"90_90","30_30","90_30","90_30"
"s23","p004",90,90,30,30,1454,1454,FALSE,"90_90","30_30","90_30","90_30"
"s24","p004",90,90,30,30,1297,1297,FALSE,"90_90","30_30","90_30","90_30"
"s25","p004",90,90,30,30,986,986,FALSE,"90_90","30_30","90_30","90_30"
"s26","p004",90,30,30,90,1177,1177,TRUE,"90_30","30_90","90_30","30_90"
"s27","p004",30,30,90,90,1623,1623,FALSE,"30_30","90_90","30_90","30_90"
"s28","p004",30,30,90,90,1495,1495,FALSE,"30_30","90_90","30_90","30_90"
"s29","p004",30,30,90,90,1121,1121,FALSE,"30_30","90_90","30_90","30_90"
"s30","p004",30,30,90,90,1864,1864,FALSE,"30_30","90_90","30_90","30_90"
"s31","p004",30,30,90,90,2023,2023,FALSE,"30_30","90_90","30_90","30_90"
"s32","p004",30,30,90,90,1803,1803,FALSE,"30_30","90_90","30_90","30_90"
"s33","p004",30,30,90,90,1220,1220,FALSE,"30_30","90_90","30_90","30_90"
"s34","p004",30,30,90,90,1340,1340,FALSE,"30_30","90_90","30_90","30_90"
"s35","p004",30,30,90,90,1056,1056,FALSE,"30_30","90_90","30_90","30_90"
"s36","p004",30,90,90,30,1327,1327,TRUE,"30_90","90_30","30_90","90_30"
"s37","p004",90,90,30,30,1351,1351,FALSE,"90_90","30_30","90_30","90_30"
"s38","p004",90,90,30,30,1299,1299,FALSE,"90_90","30_30","90_30","90_30"
"s39","p004",90,90,30,30,983,983,FALSE,"90_90","30_30","90_30","90_30"
"s40","p004",90,90,30,30,1446,1446,FALSE,"90_90","30_30","90_30","90_30"
"s41","p004",90,90,30,30,1299,1299,FALSE,"90_90","30_30","90_30","90_30"
"s42","p004",90,90,30,30,1363,1363,FALSE,"90_90","30_30","90_30","90_30"
"s43","p004",90,90,30,30,937,937,FALSE,"90_90","30_30","90_30","90_30"
"s44","p004",90,90,30,30,1206,1206,FALSE,"90_90","30_30","90_30","90_30"
"s45","p004",90,90,30,30,1467,1467,FALSE,"90_90","30_30","90_30","90_30"
"s46","p004",90,90,30,30,1183,1183,FALSE,"90_90","30_30","90_30","90_30"
"s47","p004",90,90,30,30,1065,1065,FALSE,"90_90","30_30","90_30","90_30"
"s48","p004",90,90,30,30,1299,1299,FALSE,"90_90","30_30","90_30","90_30"
"s49","p004",90,90,30,30,984,984,FALSE,"90_90","30_30","90_30","90_30"
"s50","p004",90,90,30,30,1228,1228,FALSE,"90_90","30_30","90_30","90_30"
"s51","p004",90,90,30,30,1198,1198,FALSE,"90_90","30_30","90_30","90_30"
"s52","p004",90,90,30,30,1133,1133,FALSE,"90_90","30_30","90_30","90_30"
"s53","p004",90,30,30,90,1110,1110,TRUE,"90_30","30_90","90_30","30_90"
"s54","p004",30,30,90,90,1342,1342,FALSE,"30_30","90_90","30_90","30_90"
"s55","p004",30,30,90,90,1935,1935,FALSE,"30_30","90_90","30_90","30_90"
"s56","p004",30,30,90,90,2066,2066,FALSE,"30_30","90_90","30_90","30_90"
"s57","p004",30,30,90,90,1937,1937,FALSE,"30_30","90_90","30_90","30_90"
"s58","p004",30,30,90,90,1966,1966,FALSE,"30_30","90_90","30_90","30_90"
"s59","p004",30,30,90,90,1897,1897,FALSE,"30_30","90_90","30_90","30_90"
"s60","p004",30,30,90,90,1498,1498,FALSE,"30_30","90_90","30_90","30_90"
"s61","p004",30,30,90,90,1408,1408,FALSE,"30_30","90_90","30_90","30_90"
"s62","p004",30,30,90,90,1798,1798,FALSE,"30_30","90_90","30_90","30_90"
"s63","p004",30,30,90,90,1356,1356,FALSE,"30_30","90_90","30_90","30_90"
"s64","p004",30,30,90,90,2025,2025,FALSE,"30_30","90_90","30_90","30_90"
"s65","p004",30,30,90,90,1532,1532,FALSE,"30_30","90_90","30_90","30_90"
"s66","p004",30,30,90,90,1782,1782,FALSE,"30_30","90_90","30_90","30_90"
"s67","p004",30,30,90,90,1488,1488,FALSE,"30_30","90_90","30_90","30_90"
"s68","p004",30,30,90,90,1875,1875,FALSE,"30_30","90_90","30_90","30_90"
"s69","p004",30,30,90,90,1702,1702,FALSE,"30_30","90_90","30_90","30_90"
"s70","p004",30,30,90,90,1713,1713,FALSE,"30_30","90_90","30_90","30_90"
"s71","p004",30,30,90,90,1168,1168,FALSE,"30_30","90_90","30_90","30_90"
"s72","p004",30,30,90,90,1794,1794,FALSE,"30_30","90_90","30_90","30_90"
"s73","p004",30,30,90,90,1618,1618,FALSE,"30_30","90_90","30_90","30_90"
"s74","p004",30,30,90,90,1517,1517,FALSE,"30_30","90_90","30_90","30_90"
"s75","p004",30,90,90,30,1042,1042,TRUE,"30_90","90_30","30_90","90_30"
"s76","p004",90,90,30,30,1245,1245,FALSE,"90_90","30_30","90_30","90_30"
"s77","p004",90,90,30,30,1300,1300,FALSE,"90_90","30_30","90_30","90_30"
"s78","p004",90,90,30,30,1414,1414,FALSE,"90_90","30_30","90_30","90_30"
"s79","p004",90,90,30,30,1486,1486,FALSE,"90_90","30_30","90_30","90_30"
"s80","p004",90,90,30,30,1202,1202,FALSE,"90_90","30_30","90_30","90_30"
"s81","p004",90,90,30,30,1161,1161,FALSE,"90_90","30_30","90_30","90_30"
"s82","p004",90,90,30,30,1345,1345,FALSE,"90_90","30_30","90_30","90_30"
"s83","p004",90,90,30,30,1341,1341,FALSE,"90_90","30_30","90_30","90_30"
"s84","p004",90,90,30,30,1373,1373,FALSE,"90_90","30_30","90_30","90_30"
"s85","p004",90,90,30,30,1441,1441,FALSE,"90_90","30_30","90_30","90_30"
"s86","p004",90,90,30,30,946,946,FALSE,"90_90","30_30","90_30","90_30"
"s87","p004",90,90,30,30,1125,1125,FALSE,"90_90","30_30","90_30","90_30"
"s88","p004",90,90,30,30,1433,1433,FALSE,"90_90","30_30","90_30","90_30"
"s89","p004",90,90,30,30,1344,1344,FALSE,"90_90","30_30","90_30","90_30"
"s90","p004",90,90,30,30,1145,1145,FALSE,"90_90","30_30","90_30","90_30"
"s91","p004",90,90,30,30,986,986,FALSE,"90_90","30_30","90_30","90_30"
"s92","p004",90,90,30,30,937,937,FALSE,"90_90","30_30","90_30","90_30"
"s93","p004",90,90,30,30,1472,1472,FALSE,"90_90","30_30","90_30","90_30"
"s94","p004",90,90,30,30,1367,1367,FALSE,"90_90","30_30","90_30","90_30"
"s95","p004",90,90,30,30,1354,1354,FALSE,"90_90","30_30","90_30","90_30"
"s96","p004",90,90,30,30,914,914,FALSE,"90_90","30_30","90_30","90_30"
"s97","p004",90,90,30,30,908,908,FALSE,"90_90","30_30","90_30","90_30"
"s98","p004",90,90,30,30,1032,1032,FALSE,"90_90","30_30","90_30","90_30"
"s99","p004",90,90,30,30,1421,1421,FALSE,"90_90","30_30","90_30","90_30"
"s100","p004",90,90,30,30,1294,1294,FALSE,"90_90","30_30","90_30","90_30"
"s101","p004",90,45,30,45,1085,1085,TRUE,"90_45","30_45","90_30","45_45"
"s102","p004",45,45,45,45,1092,1092,FALSE,"45_45","45_45","45_45","45_45"
"s103","p004",45,45,45,45,1173,1173,FALSE,"45_45","45_45","45_45","45_45"
"s104","p004",45,45,45,45,1069,1069,FALSE,"45_45","45_45","45_45","45_45"
"s105","p004",45,45,45,45,1040,1040,FALSE,"45_45","45_45","45_45","45_45"
"s106","p004",45,45,45,45,991,991,FALSE,"45_45","45_45","45_45","45_45"
"s107","p004",45,45,45,45,1172,1172,FALSE,"45_45","45_45","45_45","45_45"
"s108","p004",45,45,45,45,1062,1062,FALSE,"45_45","45_45","45_45","45_45"
"s109","p004",45,45,45,45,967,967,FALSE,"45_45","45_45","45_45","45_45"
"s110","p004",45,45,45,45,1003,1003,FALSE,"45_45","45_45","45_45","45_45"
"s111","p004",45,45,45,45,1169,1169,FALSE,"45_45","45_45","45_45","45_45"
"s112","p004",45,45,45,45,960,960,FALSE,"45_45","45_45","45_45","45_45"
"s113","p004",45,45,45,45,978,978,FALSE,"45_45","45_45","45_45","45_45"
"s114","p004",45,45,45,45,960,960,FALSE,"45_45","45_45","45_45","45_45"
"s115","p004",45,45,45,45,1152,1152,FALSE,"45_45","45_45","45_45","45_45"
"s116","p004",45,45,45,45,1891,1891,FALSE,"45_45","45_45","45_45","45_45"
"s117","p004",45,25,45,225,2193,2193,TRUE,"45_25","45_225","45_45","25_225"
"s118","p004",25,25,225,225,1543,1543,FALSE,"25_25","225_225","25_225","25_225"
"s119","p004",25,25,225,225,1448,1448,FALSE,"25_25","225_225","25_225","25_225"
"s120","p004",25,25,225,225,2238,2238,FALSE,"25_25","225_225","25_225","25_225"
"s121","p004",25,25,225,225,1250,1250,FALSE,"25_25","225_225","25_225","25_225"
"s122","p004",25,25,225,225,1922,1922,FALSE,"25_25","225_225","25_225","25_225"
"s123","p004",25,25,225,225,1791,1791,FALSE,"25_25","225_225","25_225","25_225"
"s124","p004",25,135,225,27,1320,1320,TRUE,"25_135","225_27","25_225","135_27"
"s125","p004",135,35,27,63,1526,1526,TRUE,"135_35","27_63","135_27","35_63"
"s126","p004",35,135,63,27,2200,2200,TRUE,"35_135","63_27","35_63","135_27"
"s127","p004",135,25,27,225,1431,1431,TRUE,"135_25","27_225","135_27","25_225"
"s128","p004",25,25,225,225,2287,2287,FALSE,"25_25","225_225","25_225","25_225"
"s129","p004",25,225,225,25,1952,1952,TRUE,"25_225","225_25","25_225","225_25"
"s130","p004",225,25,25,225,2072,2072,TRUE,"225_25","25_225","225_25","25_225"
"s131","p004",25,63,225,35,1208,1208,TRUE,"25_63","225_35","25_225","63_35"
"s132","p004",63,24,35,360,2218,2218,TRUE,"63_24","35_360","63_35","24_360"
"s133","p004",24,24,360,360,1289,1289,FALSE,"24_24","360_360","24_360","24_360"
"s134","p004",24,24,360,360,1739,1739,FALSE,"24_24","360_360","24_360","24_360"
"s135","p004",24,90,360,30,1526,1526,TRUE,"24_90","360_30","24_360","90_30"
"s136","p004",90,25,30,225,2034,2034,TRUE,"90_25","30_225","90_30","25_225"
"s137","p004",25,63,225,35,1325,1325,TRUE,"25_63","225_35","25_225","63_35"
"s138","p004",63,63,35,35,1277,1277,FALSE,"63_63","35_35","63_35","63_35"
"s139","p004",63,63,35,35,2319,2319,FALSE,"63_63","35_35","63_35","63_35"
"s140","p004",63,24,35,360,2346,2346,TRUE,"63_24","35_360","63_35","24_360"
"s141","p004",24,24,360,360,1835,1835,FALSE,"24_24","360_360","24_360","24_360"
"s142","p004",24,360,360,24,1773,1773,TRUE,"24_360","360_24","24_360","360_24"
"s143","p004",360,27,24,135,1547,1547,TRUE,"360_27","24_135","360_24","27_135"
"s144","p004",27,135,135,27,1388,1388,TRUE,"27_135","135_27","27_135","135_27"
"s145","p004",135,135,27,27,1752,1752,FALSE,"135_135","27_27","135_27","135_27"
"s146","p004",135,135,27,27,2025,2025,FALSE,"135_135","27_27","135_27","135_27"
"s147","p004",135,135,27,27,2176,2176,FALSE,"135_135","27_27","135_27","135_27"
"s148","p004",135,35,27,63,1259,1259,TRUE,"135_35","27_63","135_27","35_63"
"s149","p004",35,225,63,25,1728,1728,TRUE,"35_225","63_25","35_63","225_25"
"s150","p004",225,24,25,360,1426,1426,TRUE,"225_24","25_360","225_25","24_360"
"s151","p004",24,135,360,27,1726,1726,TRUE,"24_135","360_27","24_360","135_27"
"s152","p004",135,135,27,27,2219,2219,FALSE,"135_135","27_27","135_27","135_27"
"s153","p004",135,135,27,27,2179,2179,FALSE,"135_135","27_27","135_27","135_27"
"s154","p004",135,30,27,90,1766,1766,TRUE,"135_30","27_90","135_27","30_90"
"s155","p004",30,360,90,24,2284,2284,TRUE,"30_360","90_24","30_90","360_24"
"s156","p004",360,360,24,24,2325,2325,FALSE,"360_360","24_24","360_24","360_24"
"s157","p004",360,360,24,24,1395,1395,FALSE,"360_360","24_24","360_24","360_24"
"s158","p004",360,30,24,90,2342,2342,TRUE,"360_30","24_90","360_24","30_90"
"s159","p004",30,63,90,35,1430,1430,TRUE,"30_63","90_35","30_90","63_35"
"s160","p004",63,63,35,35,1208,1208,FALSE,"63_63","35_35","63_35","63_35"
"s161","p004",63,30,35,90,1717,1717,TRUE,"63_30","35_90","63_35","30_90"
"s162","p004",30,360,90,24,2203,2203,TRUE,"30_360","90_24","30_90","360_24"
"s163","p004",360,360,24,24,1326,1326,FALSE,"360_360","24_24","360_24","360_24"
"s164","p004",360,35,24,63,1283,1283,TRUE,"360_35","24_63","360_24","35_63"
"s165","p004",35,63,63,35,1715,1715,TRUE,"35_63","63_35","35_63","63_35"
"s166","p004",63,63,35,35,1527,1527,FALSE,"63_63","35_35","63_35","63_35"
"s167","p004",63,24,35,360,1594,1594,TRUE,"63_24","35_360","63_35","24_360"
"s168","p004",24,63,360,35,2373,2373,TRUE,"24_63","360_35","24_360","63_35"
"s169","p004",63,25,35,225,1981,1981,TRUE,"63_25","35_225","63_35","25_225"
"s170","p004",25,25,225,225,2148,2148,FALSE,"25_25","225_225","25_225","25_225"
"s171","p004",25,360,225,24,1758,1758,TRUE,"25_360","225_24","25_225","360_24"
"s172","p004",360,35,24,63,1547,1547,TRUE,"360_35","24_63","360_24","35_63"
"s173","p004",35,135,63,27,2165,2165,TRUE,"35_135","63_27","35_63","135_27"
"s174","p004",135,135,27,27,2139,2139,FALSE,"135_135","27_27","135_27","135_27"
"s175","p004",135,135,27,27,2326,2326,FALSE,"135_135","27_27","135_27","135_27"
"s176","p004",135,27,27,135,1415,1415,TRUE,"135_27","27_135","135_27","27_135"
"s177","p004",27,27,135,135,1255,1255,FALSE,"27_27","135_135","27_135","27_135"
"s178","p004",27,135,135,27,2057,2057,TRUE,"27_135","135_27","27_135","135_27"
"s179","p004",135,135,27,27,1413,1413,FALSE,"135_135","27_27","135_27","135_27"
"s180","p004",135,Inf,27,Inf,1378,1378,TRUE,"135_Inf","27_Inf","135_27","Inf_Inf"
"s01","p054",30,30,90,90,1829,1829,FALSE,"30_30","90_90","30_90","30_90"
"s02","p054",30,30,90,90,1727,1727,FALSE,"30_30","90_90","30_90","30_90"
"s03","p054",30,30,90,90,976,976,FALSE,"30_30","90_90","30_90","30_90"
"s04","p054",30,30,90,90,992,992,FALSE,"30_30","90_90","30_90","30_90"
"s05","p054",30,30,90,90,1154,1154,FALSE,"30_30","90_90","30_90","30_90"
"s06","p054",30,30,90,90,1541,1541,FALSE,"30_30","90_90","30_90","30_90"
"s07","p054",30,30,90,90,1035,1035,FALSE,"30_30","90_90","30_90","30_90"
"s08","p054",30,30,90,90,2060,2060,FALSE,"30_30","90_90","30_90","30_90"
"s09","p054",30,30,90,90,1390,1390,FALSE,"30_30","90_90","30_90","30_90"
"s10","p054",30,30,90,90,1452,1452,FALSE,"30_30","90_90","30_90","30_90"
"s11","p054",30,30,90,90,1378,1378,FALSE,"30_30","90_90","30_90","30_90"
"s12","p054",30,30,90,90,2035,2035,FALSE,"30_30","90_90","30_90","30_90"
"s13","p054",30,30,90,90,1682,1682,FALSE,"30_30","90_90","30_90","30_90"
"s14","p054",30,30,90,90,1794,1794,FALSE,"30_30","90_90","30_90","30_90"
"s15","p054",30,30,90,90,992,992,FALSE,"30_30","90_90","30_90","30_90"
"s16","p054",30,90,90,30,1358,1358,TRUE,"30_90","90_30","30_90","90_30"
"s17","p054",90,90,30,30,1413,1413,FALSE,"90_90","30_30","90_30","90_30"
"s18","p054",90,90,30,30,1242,1242,FALSE,"90_90","30_30","90_30","90_30"
"s19","p054",90,90,30,30,973,973,FALSE,"90_90","30_30","90_30","90_30"
"s20","p054",90,90,30,30,1481,1481,FALSE,"90_90","30_30","90_30","90_30"
"s21","p054",90,90,30,30,1387,1387,FALSE,"90_90","30_30","90_30","90_30"
"s22","p054",90,90,30,30,1439,1439,FALSE,"90_90","30_30","90_30","90_30"
"s23","p054",90,90,30,30,920,920,FALSE,"90_90","30_30","90_30","90_30"
"s24","p054",90,90,30,30,1201,1201,FALSE,"90_90","30_30","90_30","90_30"
"s25","p054",90,90,30,30,1143,1143,FALSE,"90_90","30_30","90_30","90_30"
"s26","p054",90,30,30,90,1160,1160,TRUE,"90_30","30_90","90_30","30_90"
